"","logA","logSmax","logSigma","Scale"
"55",0.557875278132487,3.39848489963645,-0.329108950802677,10000
"56",0.821326793827625,2.33546143121091,-0.113420548731334,10000
"57",0.839073857268355,1.58010566595848,-0.2970912332456,10000
"58",0.385529450886945,2.98777630340653,-0.363053990888931,10000
"59",0.6365139644181,2.42868606321701,-0.195442481631298,10000
"60",0.634137662774281,2.74303138234033,-0.150642293847254,10000
"61",0.787982719215152,2.58196897650424,-0.292194084081053,10000
"62",0.558258406648687,3.57306957550613,-0.27504030246803,10000
"63",0.74573673667042,3.3378062515171,-0.184680059683796,10000
"64",0.703827645568031,2.33109569278142,-0.335083936095443,10000
"65",0.570668602773674,2.80634862099061,-0.204045486939605,10000
"66",0.376770345574427,3.96984834555278,-0.443760964087221,10000
"67",0.553688473901531,3.49483046990206,-0.245553011467047,10000
"68",0.640007704676484,2.99064921521695,-0.29144811001116,10000
"69",0.775798248428965,1.99099984050767,-0.415648740140787,10000
"70",0.609101178653653,2.27507016629806,-0.437997011144954,10000
"71",0.496819647874449,3.18018269008454,-0.217919226064318,10000
"72",1.02681262132518,2.20292778978375,-0.232000869329778,10000
"73",0.759931154308419,2.97607803895906,-0.112248447466823,10000
"74",0.83721227657435,2.37156270251974,-0.401496914561486,10000
"75",0.612240603837462,4.06800524193218,-0.201476428095738,10000
"76",0.735689874986374,2.95329370391858,-0.206006499341094,10000
"77",0.837857312521842,2.83865181732015,-0.215733274424035,10000
"78",0.652779699589291,2.65542920092141,-0.357638167717525,10000
"79",0.962766281513988,1.91103489170426,-0.466036937141774,10000
"80",0.618916234174655,2.91283280070273,-0.33377986764407,10000
"81",0.599421328635604,3.1271244636335,-0.376073443425823,10000
"82",0.841175553161736,2.66851133697076,-0.290473655868914,10000
"83",0.551830917501852,3.07429323228425,-0.403779113237773,10000
"84",0.612864741357325,1.95454818080388,-0.246745932969374,10000
"85",0.663450878405553,2.7461930992956,-0.314897378516687,10000
"86",0.505415666296398,4.55810691660051,-0.120021584152109,10000
"87",0.680403058864943,2.47756962281809,-0.323079996688265,10000
"88",0.348468167571577,4.34459733719056,-0.425747546615285,10000
"89",0.995459184280049,2.08127420448762,-0.17684721917392,10000
"90",0.752952793813237,2.65900743034569,-0.284584377960466,10000
"91",0.608117356361239,2.65954092613672,-0.504550893127565,10000
"92",0.601083808269106,3.05854306975359,-0.325648005418432,10000
